"MAPPING — MASTER DATA (Model, Brand, Size, HS Code da co san)",,,,,,,,,
"  Day la MASTER DATA chinh: VBA doc Size/HS Code/Ma noi bo TRUC TIEP tu day theo key MODEL+BRAND.
  Neu mot Model+Brand MOI chua co trong danh sach, VBA se TU TINH du phong va canh bao ban bo sung.
  CHI THEM DONG MOI khi co Model+Brand thuc su chua ton tai (khong sua Size/HS Code cua dong co san tru khi chac chan).",,,,,,,,,
#,MODEL,BRAND,DESCRIPTION (English),INTERNAL CODE,SIZE (CM),HS CODE,TEN HANG (VN),SO LO,PCS/CTN
1282,C142,YAMATACHI,Rubber V Belt YAMATACHI C142,CR.CT.142.YAMA,360.7,401039,YAMATACHI tr?n C142,,20
1283,C143,YAMATACHI,Rubber V Belt YAMATACHI C143,CR.CT.143.YAMA,363.2,401039,YAMATACHI tr?n C143,,20
1284,C144,YAMATACHI,Rubber V Belt YAMATACHI C144,CR.CT.144.YAMA,365.8,401039,YAMATACHI tr?n C144,,20
1285,C145,YAMATACHI,Rubber V Belt YAMATACHI C145,CR.CT.145.YAMA,368.3,401039,YAMATACHI tr?n C145,,20
1286,C146,YAMATACHI,Rubber V Belt YAMATACHI C146,CR.CT.146.YAMA,370.8,401039,YAMATACHI tr?n C146,,20
1287,C147,YAMATACHI,Rubber V Belt YAMATACHI C147,CR.CT.147.YAMA,373.4,401039,YAMATACHI tr?n C147,,20
1288,C148,YAMATACHI,Rubber V Belt YAMATACHI C148,CR.CT.148.YAMA,375.9,401039,YAMATACHI tr?n C148,,20
1289,C149,YAMATACHI,Rubber V Belt YAMATACHI C149,CR.CT.149.YAMA,378.5,401039,YAMATACHI tr?n C149,,18
1290,C150,YAMATACHI,Rubber V Belt YAMATACHI C150,CR.CT.150.YAMA,381,401039,YAMATACHI tr?n C150,,18
1291,C151,YAMATACHI,Rubber V Belt YAMATACHI C151,CR.CT.151.YAMA,383.5,401039,YAMATACHI tr?n C151,,18
1292,C152,YAMATACHI,Rubber V Belt YAMATACHI C152,CR.CT.152.YAMA,386.1,401039,YAMATACHI tr?n C152,,18
1293,C153,YAMATACHI,Rubber V Belt YAMATACHI C153,CR.CT.153.YAMA,388.6,401039,YAMATACHI tr?n C153,,18
1294,C154,YAMATACHI,Rubber V Belt YAMATACHI C154,CR.CT.154.YAMA,391.2,401039,YAMATACHI tr?n C154,,18
1295,C155,YAMATACHI,Rubber V Belt YAMATACHI C155,CR.CT.155.YAMA,393.7,401039,YAMATACHI tr?n C155,,18
1296,C156,YAMATACHI,Rubber V Belt YAMATACHI C156,CR.CT.156.YAMA,396.2,401039,YAMATACHI tr?n C156,,18
1297,C157,YAMATACHI,Rubber V Belt YAMATACHI C157,CR.CT.157.YAMA,398.8,401039,YAMATACHI tr?n C157,,18
1298,C158,YAMATACHI,Rubber V Belt YAMATACHI C158,CR.CT.158.YAMA,401.3,401039,YAMATACHI tr?n C158,,17
1299,C159,YAMATACHI,Rubber V Belt YAMATACHI C159,CR.CT.159.YAMA,403.9,401039,YAMATACHI tr?n C159,,17
1300,C160,YAMATACHI,Rubber V Belt YAMATACHI C160,CR.CT.160.YAMA,406.4,401039,YAMATACHI tr?n C160,,17
1301,C161,YAMATACHI,Rubber V Belt YAMATACHI C161,CR.CT.161.YAMA,408.9,401039,YAMATACHI tr?n C161,,17
1302,C162,YAMATACHI,Rubber V Belt YAMATACHI C162,CR.CT.162.YAMA,411.5,401039,YAMATACHI tr?n C162,,17
1303,C163,YAMATACHI,Rubber V Belt YAMATACHI C163,CR.CT.163.YAMA,414,401039,YAMATACHI tr?n C163,,17
1304,C164,YAMATACHI,Rubber V Belt YAMATACHI C164,CR.CT.164.YAMA,416.6,401039,YAMATACHI tr?n C164,,17
1305,C165,YAMATACHI,Rubber V Belt YAMATACHI C165,CR.CT.165.YAMA,419.1,401039,YAMATACHI tr?n C165,,17
1306,C166,YAMATACHI,Rubber V Belt YAMATACHI C166,CR.CT.166.YAMA,421.6,401039,YAMATACHI tr?n C166,,17
1307,C167,YAMATACHI,Rubber V Belt YAMATACHI C167,CR.CT.167.YAMA,424.2,401039,YAMATACHI tr?n C167,,17
1308,C168,YAMATACHI,Rubber V Belt YAMATACHI C168,CR.CT.168.YAMA,426.7,401039,YAMATACHI tr?n C168,,17
1309,C169,YAMATACHI,Rubber V Belt YAMATACHI C169,CR.CT.169.YAMA,429.3,401039,YAMATACHI tr?n C169,,17
1310,C170,YAMATACHI,Rubber V Belt YAMATACHI C170,CR.CT.170.YAMA,431.8,401039,YAMATACHI tr?n C170,,16
1311,C171,YAMATACHI,Rubber V Belt YAMATACHI C171,CR.CT.171.YAMA,434.3,401039,YAMATACHI tr?n C171,,16
1312,C172,YAMATACHI,Rubber V Belt YAMATACHI C172,CR.CT.172.YAMA,436.9,401039,YAMATACHI tr?n C172,,16
1313,C173,YAMATACHI,Rubber V Belt YAMATACHI C173,CR.CT.173.YAMA,439.4,401039,YAMATACHI tr?n C173,,16
1314,C174,YAMATACHI,Rubber V Belt YAMATACHI C174,CR.CT.174.YAMA,442,401039,YAMATACHI tr?n C174,,16
1315,C175,YAMATACHI,Rubber V Belt YAMATACHI C175,CR.CT.175.YAMA,444.5,401039,YAMATACHI tr?n C175,,16
1316,C176,YAMATACHI,Rubber V Belt YAMATACHI C176,CR.CT.176.YAMA,447,401039,YAMATACHI tr?n C176,,16
1317,C177,YAMATACHI,Rubber V Belt YAMATACHI C177,CR.CT.177.YAMA,449.6,401039,YAMATACHI tr?n C177,,16
1318,C178,YAMATACHI,Rubber V Belt YAMATACHI C178,CR.CT.178.YAMA,452.1,401039,YAMATACHI tr?n C178,,16
1319,C179,YAMATACHI,Rubber V Belt YAMATACHI C179,CR.CT.179.YAMA,454.7,401039,YAMATACHI tr?n C179,,16
1320,C180,YAMATACHI,Rubber V Belt YAMATACHI C180,CR.CT.180.YAMA,457.2,401039,YAMATACHI tr?n C180,,16
1321,C181,YAMATACHI,Rubber V Belt YAMATACHI C181,CR.CT.181.YAMA,459.7,401039,YAMATACHI tr?n C181,,16
1322,C182,YAMATACHI,Rubber V Belt YAMATACHI C182,CR.CT.182.YAMA,462.3,401039,YAMATACHI tr?n C182,,15
1323,C183,YAMATACHI,Rubber V Belt YAMATACHI C183,CR.CT.183.YAMA,464.8,401039,YAMATACHI tr?n C183,,15
1324,C184,YAMATACHI,Rubber V Belt YAMATACHI C184,CR.CT.184.YAMA,467.4,401039,YAMATACHI tr?n C184,,15
1325,C185,YAMATACHI,Rubber V Belt YAMATACHI C185,CR.CT.185.YAMA,469.9,401039,YAMATACHI tr?n C185,,15
1326,C186,YAMATACHI,Rubber V Belt YAMATACHI C186,CR.CT.186.YAMA,472.4,401039,YAMATACHI tr?n C186,,15
1327,C187,YAMATACHI,Rubber V Belt YAMATACHI C187,CR.CT.187.YAMA,475,401039,YAMATACHI tr?n C187,,15
1328,C188,YAMATACHI,Rubber V Belt YAMATACHI C188,CR.CT.188.YAMA,477.5,401039,YAMATACHI tr?n C188,,15
1329,C189,YAMATACHI,Rubber V Belt YAMATACHI C189,CR.CT.189.YAMA,480.1,401039,YAMATACHI tr?n C189,,15
1330,C190,YAMATACHI,Rubber V Belt YAMATACHI C190,CR.CT.190.YAMA,482.6,401039,YAMATACHI tr?n C190,,15
1331,C191,YAMATACHI,Rubber V Belt YAMATACHI C191,CR.CT.191.YAMA,485.1,401039,YAMATACHI tr?n C191,,15
1332,C192,YAMATACHI,Rubber V Belt YAMATACHI C192,CR.CT.192.YAMA,487.7,401039,YAMATACHI tr?n C192,,15
1333,C193,YAMATACHI,Rubber V Belt YAMATACHI C193,CR.CT.193.YAMA,490.2,401039,YAMATACHI tr?n C193,,15
1334,C194,YAMATACHI,Rubber V Belt YAMATACHI C194,CR.CT.194.YAMA,492.8,401039,YAMATACHI tr?n C194,,15
1335,C195,YAMATACHI,Rubber V Belt YAMATACHI C195,CR.CT.195.YAMA,495.3,401039,YAMATACHI tr?n C195,,15
1336,C196,YAMATACHI,Rubber V Belt YAMATACHI C196,CR.CT.196.YAMA,497.8,401039,YAMATACHI tr?n C196,,15
1337,C197,YAMATACHI,Rubber V Belt YAMATACHI C197,CR.CT.197.YAMA,500.4,401039,YAMATACHI tr?n C197,,13
1338,C198,YAMATACHI,Rubber V Belt YAMATACHI C198,CR.CT.198.YAMA,502.9,401039,YAMATACHI tr?n C198,,13
1339,C199,YAMATACHI,Rubber V Belt YAMATACHI C199,CR.CT.199.YAMA,505.5,401039,YAMATACHI tr?n C199,,13
1340,C200,YAMATACHI,Rubber V Belt YAMATACHI C200,CR.CT.200.YAMA,508,401039,YAMATACHI tr?n C200,,13
1341,C201,YAMATACHI,Rubber V Belt YAMATACHI C201,CR.CT.201.YAMA,510.5,401039,YAMATACHI tr?n C201,,13
1342,C202,YAMATACHI,Rubber V Belt YAMATACHI C202,CR.CT.202.YAMA,513.1,401039,YAMATACHI tr?n C202,,13
1343,C203,YAMATACHI,Rubber V Belt YAMATACHI C203,CR.CT.203.YAMA,515.6,401039,YAMATACHI tr?n C203,,13
1344,C204,YAMATACHI,Rubber V Belt YAMATACHI C204,CR.CT.204.YAMA,518.2,401039,YAMATACHI tr?n C204,,13
1345,C205,YAMATACHI,Rubber V Belt YAMATACHI C205,CR.CT.205.YAMA,520.7,401039,YAMATACHI tr?n C205,,13
1346,C206,YAMATACHI,Rubber V Belt YAMATACHI C206,CR.CT.206.YAMA,523.2,401039,YAMATACHI tr?n C206,,13
1347,C207,YAMATACHI,Rubber V Belt YAMATACHI C207,CR.CT.207.YAMA,525.8,401039,YAMATACHI tr?n C207,,13
1348,C208,YAMATACHI,Rubber V Belt YAMATACHI C208,CR.CT.208.YAMA,528.3,401039,YAMATACHI tr?n C208,,13
1349,C209,YAMATACHI,Rubber V Belt YAMATACHI C209,CR.CT.209.YAMA,530.9,401039,YAMATACHI tr?n C209,,13
1350,C210,YAMATACHI,Rubber V Belt YAMATACHI C210,CR.CT.210.YAMA,533.4,401039,YAMATACHI tr?n C210,,12
1351,C211,YAMATACHI,Rubber V Belt YAMATACHI C211,CR.CT.211.YAMA,535.9,401039,YAMATACHI tr?n C211,,12
1352,C212,YAMATACHI,Rubber V Belt YAMATACHI C212,CR.CT.212.YAMA,538.5,401039,YAMATACHI tr?n C212,,12
1353,C213,YAMATACHI,Rubber V Belt YAMATACHI C213,CR.CT.213.YAMA,541,401039,YAMATACHI tr?n C213,,12
1354,C214,YAMATACHI,Rubber V Belt YAMATACHI C214,CR.CT.214.YAMA,543.6,401039,YAMATACHI tr?n C214,,12
1355,C215,YAMATACHI,Rubber V Belt YAMATACHI C215,CR.CT.215.YAMA,546.1,401039,YAMATACHI tr?n C215,,12
1356,C216,YAMATACHI,Rubber V Belt YAMATACHI C216,CR.CT.216.YAMA,548.6,401039,YAMATACHI tr?n C216,,12
1357,C217,YAMATACHI,Rubber V Belt YAMATACHI C217,CR.CT.217.YAMA,551.2,401039,YAMATACHI tr?n C217,,12
1358,C218,YAMATACHI,Rubber V Belt YAMATACHI C218,CR.CT.218.YAMA,553.7,401039,YAMATACHI tr?n C218,,12
1359,C219,YAMATACHI,Rubber V Belt YAMATACHI C219,CR.CT.219.YAMA,556.3,401039,YAMATACHI tr?n C219,,12
1360,C220,YAMATACHI,Rubber V Belt YAMATACHI C220,CR.CT.220.YAMA,558.8,401039,YAMATACHI tr?n C220,,12
1361,C221,YAMATACHI,Rubber V Belt YAMATACHI C221,CR.CT.221.YAMA,561.3,401039,YAMATACHI tr?n C221,,12
1362,C222,YAMATACHI,Rubber V Belt YAMATACHI C222,CR.CT.222.YAMA,563.9,401039,YAMATACHI tr?n C222,,12
1363,C223,YAMATACHI,Rubber V Belt YAMATACHI C223,CR.CT.223.YAMA,566.4,401039,YAMATACHI tr?n C223,,12
1364,C224,YAMATACHI,Rubber V Belt YAMATACHI C224,CR.CT.224.YAMA,569,401039,YAMATACHI tr?n C224,,12
1365,C225,YAMATACHI,Rubber V Belt YAMATACHI C225,CR.CT.225.YAMA,571.5,401039,YAMATACHI tr?n C225,,12
1366,C226,YAMATACHI,Rubber V Belt YAMATACHI C226,CR.CT.226.YAMA,574,401039,YAMATACHI tr?n C226,,12
1367,C227,YAMATACHI,Rubber V Belt YAMATACHI C227,CR.CT.227.YAMA,576.6,401039,YAMATACHI tr?n C227,,12
1368,C228,YAMATACHI,Rubber V Belt YAMATACHI C228,CR.CT.228.YAMA,579.1,401039,YAMATACHI tr?n C228,,12
1369,C229,YAMATACHI,Rubber V Belt YAMATACHI C229,CR.CT.229.YAMA,581.7,401039,YAMATACHI tr?n C229,,12
1370,C230,YAMATACHI,Rubber V Belt YAMATACHI C230,CR.CT.230.YAMA,584.2,401039,YAMATACHI tr?n C230,,12
1371,C231,YAMATACHI,Rubber V Belt YAMATACHI C231,CR.CT.231.YAMA,586.7,401039,YAMATACHI tr?n C231,,12
1372,C232,YAMATACHI,Rubber V Belt YAMATACHI C232,CR.CT.232.YAMA,589.3,401039,YAMATACHI tr?n C232,,12
1373,C233,YAMATACHI,Rubber V Belt YAMATACHI C233,CR.CT.233.YAMA,591.8,401039,YAMATACHI tr?n C233,,12
1374,C234,YAMATACHI,Rubber V Belt YAMATACHI C234,CR.CT.234.YAMA,594.4,401039,YAMATACHI tr?n C234,,10
1375,C235,YAMATACHI,Rubber V Belt YAMATACHI C235,CR.CT.235.YAMA,596.9,401039,YAMATACHI tr?n C235,,10
1376,C236,YAMATACHI,Rubber V Belt YAMATACHI C236,CR.CT.236.YAMA,599.4,401039,YAMATACHI tr?n C236,,10
1377,C237,YAMATACHI,Rubber V Belt YAMATACHI C237,CR.CT.237.YAMA,602,401039,YAMATACHI tr?n C237,,10
1378,C238,YAMATACHI,Rubber V Belt YAMATACHI C238,CR.CT.238.YAMA,604.5,401039,YAMATACHI tr?n C238,,10
1379,C239,YAMATACHI,Rubber V Belt YAMATACHI C239,CR.CT.239.YAMA,607.1,401039,YAMATACHI tr?n C239,,10
1380,C240,YAMATACHI,Rubber V Belt YAMATACHI C240,CR.CT.240.YAMA,609.6,401039,YAMATACHI tr?n C240,,10
1381,C241,YAMATACHI,Rubber V Belt YAMATACHI C241,CR.CT.241.YAMA,612.1,401039,YAMATACHI tr?n C241,,10
1382,C242,YAMATACHI,Rubber V Belt YAMATACHI C242,CR.CT.242.YAMA,614.7,401039,YAMATACHI tr?n C242,,10
1383,C243,YAMATACHI,Rubber V Belt YAMATACHI C243,CR.CT.243.YAMA,617.2,401039,YAMATACHI tr?n C243,,10
1384,C244,YAMATACHI,Rubber V Belt YAMATACHI C244,CR.CT.244.YAMA,619.8,401039,YAMATACHI tr?n C244,,10
1385,C245,YAMATACHI,Rubber V Belt YAMATACHI C245,CR.CT.245.YAMA,622.3,401039,YAMATACHI tr?n C245,,10
1386,C246,YAMATACHI,Rubber V Belt YAMATACHI C246,CR.CT.246.YAMA,624.8,401039,YAMATACHI tr?n C246,,10
1387,C247,YAMATACHI,Rubber V Belt YAMATACHI C247,CR.CT.247.YAMA,627.4,401039,YAMATACHI tr?n C247,,10
1388,C248,YAMATACHI,Rubber V Belt YAMATACHI C248,CR.CT.248.YAMA,629.9,401039,YAMATACHI tr?n C248,,10
1389,C249,YAMATACHI,Rubber V Belt YAMATACHI C249,CR.CT.249.YAMA,632.5,401039,YAMATACHI tr?n C249,,10
1390,C250,YAMATACHI,Rubber V Belt YAMATACHI C250,CR.CT.250.YAMA,635,401039,YAMATACHI tr?n C250,,10
1391,C251,YAMATACHI,Rubber V Belt YAMATACHI C251,CR.CT.251.YAMA,637.5,401039,YAMATACHI tr?n C251,,10
1392,C252,YAMATACHI,Rubber V Belt YAMATACHI C252,CR.CT.252.YAMA,640.1,401039,YAMATACHI tr?n C252,,10
1393,C253,YAMATACHI,Rubber V Belt YAMATACHI C253,CR.CT.253.YAMA,642.6,401039,YAMATACHI tr?n C253,,10
1394,C254,YAMATACHI,Rubber V Belt YAMATACHI C254,CR.CT.254.YAMA,645.2,401039,YAMATACHI tr?n C254,,10
1395,C255,YAMATACHI,Rubber V Belt YAMATACHI C255,CR.CT.255.YAMA,647.7,401039,YAMATACHI tr?n C255,,10
1396,C256,YAMATACHI,Rubber V Belt YAMATACHI C256,CR.CT.256.YAMA,650.2,401039,YAMATACHI tr?n C256,,10
1397,C257,YAMATACHI,Rubber V Belt YAMATACHI C257,CR.CT.257.YAMA,652.8,401039,YAMATACHI tr?n C257,,10
1398,C258,YAMATACHI,Rubber V Belt YAMATACHI C258,CR.CT.258.YAMA,655.3,401039,YAMATACHI tr?n C258,,10
1399,C259,YAMATACHI,Rubber V Belt YAMATACHI C259,CR.CT.259.YAMA,657.9,401039,YAMATACHI tr?n C259,,10
1400,C260,YAMATACHI,Rubber V Belt YAMATACHI C260,CR.CT.260.YAMA,660.4,401039,YAMATACHI tr?n C260,,8
1401,C264,YAMATACHI,Rubber V Belt YAMATACHI C264,CR.CT.264.YAMA,670.6,401039,YAMATACHI tr?n C264,,8
1402,C265,YAMATACHI,Rubber V Belt YAMATACHI C265,CR.CT.265.YAMA,673.1,401039,YAMATACHI tr?n C265,,8
1403,C270,YAMATACHI,Rubber V Belt YAMATACHI C270,CR.CT.270.YAMA,685.8,401039,YAMATACHI tr?n C270,,8
1404,C272,YAMATACHI,Rubber V Belt YAMATACHI C272,CR.CT.272.YAMA,690.9,401039,YAMATACHI tr?n C272,,8
1405,C275,YAMATACHI,Rubber V Belt YAMATACHI C275,CR.CT.275.YAMA,698.5,401039,YAMATACHI tr?n C275,,8
1406,C280,YAMATACHI,Rubber V Belt YAMATACHI C280,CR.CT.280.YAMA,711.2,401039,YAMATACHI tr?n C280,,8
1407,C285,YAMATACHI,Rubber V Belt YAMATACHI C285,CR.CT.285.YAMA,723.9,401039,YAMATACHI tr?n C285,,8
1408,C287,YAMATACHI,Rubber V Belt YAMATACHI C287,CR.CT.287.YAMA,729,401039,YAMATACHI tr?n C287,,8
1409,C290,YAMATACHI,Rubber V Belt YAMATACHI C290,CR.CT.290.YAMA,736.6,401039,YAMATACHI tr?n C290,,8
1410,C50,YAMATACHI,Rubber V Belt YAMATACHI C50,CR.CT.050.YAMA,127,401032,YAMATACHI tr?n C50,,60
1411,C51,YAMATACHI,Rubber V Belt YAMATACHI C51,CR.CT.051.YAMA,129.5,401032,YAMATACHI tr?n C51,,60
1412,C52,YAMATACHI,Rubber V Belt YAMATACHI C52,CR.CT.052.YAMA,132.1,401032,YAMATACHI tr?n C52,,60
1413,C53,YAMATACHI,Rubber V Belt YAMATACHI C53,CR.CT.053.YAMA,134.6,401032,YAMATACHI tr?n C53,,50
1414,C54,YAMATACHI,Rubber V Belt YAMATACHI C54,CR.CT.054.YAMA,137.2,401032,YAMATACHI tr?n C54,,50
1415,C55,YAMATACHI,Rubber V Belt YAMATACHI C55,CR.CT.055.YAMA,139.7,401032,YAMATACHI tr?n C55,,50
1416,C56,YAMATACHI,Rubber V Belt YAMATACHI C56,CR.CT.056.YAMA,142.2,401032,YAMATACHI tr?n C56,,50
1417,C57,YAMATACHI,Rubber V Belt YAMATACHI C57,CR.CT.057.YAMA,144.8,401032,YAMATACHI tr?n C57,,50
1418,C58,YAMATACHI,Rubber V Belt YAMATACHI C58,CR.CT.058.YAMA,147.3,401032,YAMATACHI tr?n C58,,50
1419,C59,YAMATACHI,Rubber V Belt YAMATACHI C59,CR.CT.059.YAMA,149.9,401032,YAMATACHI tr?n C59,,50
1420,C60,YAMATACHI,Rubber V Belt YAMATACHI C60,CR.CT.060.YAMA,152.4,401032,YAMATACHI tr?n C60,,50
1421,C61,YAMATACHI,Rubber V Belt YAMATACHI C61,CR.CT.061.YAMA,154.9,401032,YAMATACHI tr?n C61,,50
1422,C62,YAMATACHI,Rubber V Belt YAMATACHI C62,CR.CT.062.YAMA,157.5,401032,YAMATACHI tr?n C62,,50
1423,C63,YAMATACHI,Rubber V Belt YAMATACHI C63,CR.CT.063.YAMA,160,401032,YAMATACHI tr?n C63,,40
1424,C64,YAMATACHI,Rubber V Belt YAMATACHI C64,CR.CT.064.YAMA,162.6,401032,YAMATACHI tr?n C64,,40
1425,C65,YAMATACHI,Rubber V Belt YAMATACHI C65,CR.CT.065.YAMA,165.1,401032,YAMATACHI tr?n C65,,40
1426,C66,YAMATACHI,Rubber V Belt YAMATACHI C66,CR.CT.066.YAMA,167.6,401032,YAMATACHI tr?n C66,,40
1427,C67,YAMATACHI,Rubber V Belt YAMATACHI C67,CR.CT.067.YAMA,170.2,401032,YAMATACHI tr?n C67,,40
1428,C68,YAMATACHI,Rubber V Belt YAMATACHI C68,CR.CT.068.YAMA,172.7,401032,YAMATACHI tr?n C68,,40
1429,C69,YAMATACHI,Rubber V Belt YAMATACHI C69,CR.CT.069.YAMA,175.3,401032,YAMATACHI tr?n C69,,40
1430,C70,YAMATACHI,Rubber V Belt YAMATACHI C70,CR.CT.070.YAMA,177.8,401032,YAMATACHI tr?n C70,,40
1431,C71,YAMATACHI,Rubber V Belt YAMATACHI C71,CR.CT.071.YAMA,180.3,401034,YAMATACHI tr?n C71,,40
1432,C72,YAMATACHI,Rubber V Belt YAMATACHI C72,CR.CT.072.YAMA,182.9,401034,YAMATACHI tr?n C72,,40
1433,C73,YAMATACHI,Rubber V Belt YAMATACHI C73,CR.CT.073.YAMA,185.4,401034,YAMATACHI tr?n C73,,40
1434,C74,YAMATACHI,Rubber V Belt YAMATACHI C74,CR.CT.074.YAMA,188,401034,YAMATACHI tr?n C74,,40
1435,C75,YAMATACHI,Rubber V Belt YAMATACHI C75,CR.CT.075.YAMA,190.5,401034,YAMATACHI tr?n C75,,40
1436,C76,YAMATACHI,Rubber V Belt YAMATACHI C76,CR.CT.076.YAMA,193,401034,YAMATACHI tr?n C76,,40
1437,C77,YAMATACHI,Rubber V Belt YAMATACHI C77,CR.CT.077.YAMA,195.6,401034,YAMATACHI tr?n C77,,40
1438,C78,YAMATACHI,Rubber V Belt YAMATACHI C78,CR.CT.078.YAMA,198.1,401034,YAMATACHI tr?n C78,,40
1439,C79,YAMATACHI,Rubber V Belt YAMATACHI C79,CR.CT.079.YAMA,200.7,401034,YAMATACHI tr?n C79,,35
1440,C80,YAMATACHI,Rubber V Belt YAMATACHI C80,CR.CT.080.YAMA,203.2,401034,YAMATACHI tr?n C80,,35
1441,C81,YAMATACHI,Rubber V Belt YAMATACHI C81,CR.CT.081.YAMA,205.7,401034,YAMATACHI tr?n C81,,35
1442,C82,YAMATACHI,Rubber V Belt YAMATACHI C82,CR.CT.082.YAMA,208.3,401034,YAMATACHI tr?n C82,,35
1443,C83,YAMATACHI,Rubber V Belt YAMATACHI C83,CR.CT.083.YAMA,210.8,401034,YAMATACHI tr?n C83,,35
1444,C84,YAMATACHI,Rubber V Belt YAMATACHI C84,CR.CT.084.YAMA,213.4,401034,YAMATACHI tr?n C84,,35
1445,C85,YAMATACHI,Rubber V Belt YAMATACHI C85,CR.CT.085.YAMA,215.9,401034,YAMATACHI tr?n C85,,30
1446,C86,YAMATACHI,Rubber V Belt YAMATACHI C86,CR.CT.086.YAMA,218.4,401034,YAMATACHI tr?n C86,,30
1447,C87,YAMATACHI,Rubber V Belt YAMATACHI C87,CR.CT.087.YAMA,221,401034,YAMATACHI tr?n C87,,30
1448,C88,YAMATACHI,Rubber V Belt YAMATACHI C88,CR.CT.088.YAMA,223.5,401034,YAMATACHI tr?n C88,,30
1449,C89,YAMATACHI,Rubber V Belt YAMATACHI C89,CR.CT.089.YAMA,226.1,401034,YAMATACHI tr?n C89,,30
1450,C90,YAMATACHI,Rubber V Belt YAMATACHI C90,CR.CT.090.YAMA,228.6,401034,YAMATACHI tr?n C90,,30
1451,C91,YAMATACHI,Rubber V Belt YAMATACHI C91,CR.CT.091.YAMA,231.1,401034,YAMATACHI tr?n C91,,30
1452,C92,YAMATACHI,Rubber V Belt YAMATACHI C92,CR.CT.092.YAMA,233.7,401034,YAMATACHI tr?n C92,,30
1453,C93,YAMATACHI,Rubber V Belt YAMATACHI C93,CR.CT.093.YAMA,236.2,401034,YAMATACHI tr?n C93,,30
1454,C94,YAMATACHI,Rubber V Belt YAMATACHI C94,CR.CT.094.YAMA,238.8,401034,YAMATACHI tr?n C94,,30
1455,C95,YAMATACHI,Rubber V Belt YAMATACHI C95,CR.CT.095.YAMA,241.3,401039,YAMATACHI tr?n C95,,30
1456,C96,YAMATACHI,Rubber V Belt YAMATACHI C96,CR.CT.096.YAMA,243.8,401039,YAMATACHI tr?n C96,,30
1457,C97,YAMATACHI,Rubber V Belt YAMATACHI C97,CR.CT.097.YAMA,246.4,401039,YAMATACHI tr?n C97,,30
1458,C98,YAMATACHI,Rubber V Belt YAMATACHI C98,CR.CT.098.YAMA,248.9,401039,YAMATACHI tr?n C98,,30
1459,C99,YAMATACHI,Rubber V Belt YAMATACHI C99,CR.CT.099.YAMA,251.5,401039,YAMATACHI tr?n C99,,30
1460,D100,YAMATACHI,Rubber V Belt YAMATACHI D100,CR.DT.100.YAMA,254,401039,YAMATACHI tr?n D100,,14
1461,D101,YAMATACHI,Rubber V Belt YAMATACHI D101,CR.DT.101.YAMA,256.5,401039,YAMATACHI tr?n D101,,14
1462,D102,YAMATACHI,Rubber V Belt YAMATACHI D102,CR.DT.102.YAMA,259.1,401039,YAMATACHI tr?n D102,,14
1463,D103,YAMATACHI,Rubber V Belt YAMATACHI D103,CR.DT.103.YAMA,261.6,401039,YAMATACHI tr?n D103,,13
1464,D104,YAMATACHI,Rubber V Belt YAMATACHI D104,CR.DT.104.YAMA,264.2,401039,YAMATACHI tr?n D104,,13
1465,D105,YAMATACHI,Rubber V Belt YAMATACHI D105,CR.DT.105.YAMA,266.7,401039,YAMATACHI tr?n D105,,10
1466,D106,YAMATACHI,Rubber V Belt YAMATACHI D106,CR.DT.106.YAMA,269.2,401039,YAMATACHI tr?n D106,,10
1467,D107,YAMATACHI,Rubber V Belt YAMATACHI D107,CR.DT.107.YAMA,271.8,401039,YAMATACHI tr?n D107,,10
1468,D108,YAMATACHI,Rubber V Belt YAMATACHI D108,CR.DT.108.YAMA,274.3,401039,YAMATACHI tr?n D108,,10
1469,D109,YAMATACHI,Rubber V Belt YAMATACHI D109,CR.DT.109.YAMA,276.9,401039,YAMATACHI tr?n D109,,10
1470,D110,YAMATACHI,Rubber V Belt YAMATACHI D110,CR.DT.110.YAMA,279.4,401039,YAMATACHI tr?n D110,,10
1471,D111,YAMATACHI,Rubber V Belt YAMATACHI D111,CR.DT.111.YAMA,281.9,401039,YAMATACHI tr?n D111,,10
1472,D112,YAMATACHI,Rubber V Belt YAMATACHI D112,CR.DT.112.YAMA,284.5,401039,YAMATACHI tr?n D112,,10
1473,D113,YAMATACHI,Rubber V Belt YAMATACHI D113,CR.DT.113.YAMA,287,401039,YAMATACHI tr?n D113,,10
1474,D114,YAMATACHI,Rubber V Belt YAMATACHI D114,CR.DT.114.YAMA,289.6,401039,YAMATACHI tr?n D114,,10
1475,D115,YAMATACHI,Rubber V Belt YAMATACHI D115,CR.DT.115.YAMA,292.1,401039,YAMATACHI tr?n D115,,10
1476,D116,YAMATACHI,Rubber V Belt YAMATACHI D116,CR.DT.116.YAMA,294.6,401039,YAMATACHI tr?n D116,,10
1477,D117,YAMATACHI,Rubber V Belt YAMATACHI D117,CR.DT.117.YAMA,297.2,401039,YAMATACHI tr?n D117,,10
1478,D118,YAMATACHI,Rubber V Belt YAMATACHI D118,CR.DT.118.YAMA,299.7,401039,YAMATACHI tr?n D118,,10
1479,D119,YAMATACHI,Rubber V Belt YAMATACHI D119,CR.DT.119.YAMA,302.3,401039,YAMATACHI tr?n D119,,10
1480,D120,YAMATACHI,Rubber V Belt YAMATACHI D120,CR.DT.120.YAMA,304.8,401039,YAMATACHI tr?n D120,,10
