"MAPPING — MASTER DATA (Model, Brand, Size, HS Code da co san)",,,,,,,,,
"  Day la MASTER DATA chinh: VBA doc Size/HS Code/Ma noi bo TRUC TIEP tu day theo key MODEL+BRAND.
  Neu mot Model+Brand MOI chua co trong danh sach, VBA se TU TINH du phong va canh bao ban bo sung.
  CHI THEM DONG MOI khi co Model+Brand thuc su chua ton tai (khong sua Size/HS Code cua dong co san tru khi chac chan).",,,,,,,,,
#,MODEL,BRAND,DESCRIPTION (English),INTERNAL CODE,SIZE (CM),HS CODE,TEN HANG (VN),SO LO,PCS/CTN
73,RECMF-6200,TAKA,Rubber Belt (V-Ribbed) TAKA RECMF-6200,CR.AR.020.TA,50.8,401039,TAKA r?ng A20,,220
74,RECMF-6210,TAKA,Rubber Belt (V-Ribbed) TAKA RECMF-6210,CR.AR.021.TA,53.3,401039,TAKA r?ng A21,,220
75,RECMF-6220,TAKA,Rubber Belt (V-Ribbed) TAKA RECMF-6220,CR.AR.022.TA,55.9,401039,TAKA r?ng A22,,220
76,RECMF-6230,TAKA,Rubber Belt (V-Ribbed) TAKA RECMF-6230,CR.AR.023.TA,58.4,401039,TAKA r?ng A23,,210
77,RECMF-6240,TAKA,Rubber Belt (V-Ribbed) TAKA RECMF-6240,CR.AR.024.TA,61,401032,TAKA r?ng A24,,210
78,RECMF-6250,TAKA,Rubber Belt (V-Ribbed) TAKA RECMF-6250,CR.AR.025.TA,63.5,401032,TAKA r?ng A25,,210
79,RECMF-6260,TAKA,Rubber Belt (V-Ribbed) TAKA RECMF-6260,CR.AR.026.TA,66,401032,TAKA r?ng A26,,210
80,RECMF-6270,TAKA,Rubber Belt (V-Ribbed) TAKA RECMF-6270,CR.AR.027.TA,68.6,401032,TAKA r?ng A27,,210
81,RECMF-6280,TAKA,Rubber Belt (V-Ribbed) TAKA RECMF-6280,CR.AR.028.TA,71.1,401032,TAKA r?ng A28,,210
82,RECMF-6290,TAKA,Rubber Belt (V-Ribbed) TAKA RECMF-6290,CR.AR.029.TA,73.7,401032,TAKA r?ng A29,,180
83,RECMF-6300,TAKA,Rubber Belt (V-Ribbed) TAKA RECMF-6300,CR.AR.030.TA,76.2,401032,TAKA r?ng A30,,180
84,RECMF-6310,TAKA,Rubber Belt (V-Ribbed) TAKA RECMF-6310,CR.AR.031.TA,78.7,401032,TAKA r?ng A31,,150
85,RECMF-6320,TAKA,Rubber Belt (V-Ribbed) TAKA RECMF-6320,CR.AR.032.TA,81.3,401032,TAKA r?ng A32,,150
86,RECMF-6330,TAKA,Rubber Belt (V-Ribbed) TAKA RECMF-6330,CR.AR.033.TA,83.8,401032,TAKA r?ng A33,,150
87,RECMF-6340,TAKA,Rubber Belt (V-Ribbed) TAKA RECMF-6340,CR.AR.034.TA,86.4,401032,TAKA r?ng A34,,150
88,RECMF-6350,TAKA,Rubber Belt (V-Ribbed) TAKA RECMF-6350,CR.AR.035.TA,88.9,401032,TAKA r?ng A35,,150
89,RECMF-6360,TAKA,Rubber Belt (V-Ribbed) TAKA RECMF-6360,CR.AR.036.TA,91.4,401032,TAKA r?ng A36,,150
90,RECMF-6370,TAKA,Rubber Belt (V-Ribbed) TAKA RECMF-6370,CR.AR.037.TA,94,401032,TAKA r?ng A37,,150
91,RECMF-6380,TAKA,Rubber Belt (V-Ribbed) TAKA RECMF-6380,CR.AR.038.TA,96.5,401032,TAKA r?ng A38,,150
92,RECMF-6390,TAKA,Rubber Belt (V-Ribbed) TAKA RECMF-6390,CR.AR.039.TA,99.1,401032,TAKA r?ng A39,,150
